French,English
nombre,number
perdre,to lose
français,french
expliquer,explain
quatre,four
compte,account
considérer,consider
lorsque,when
ouvrir,open
gagner,to win
exemple,example
ville,town
économique,economic
mesure,measure
histoire,story
haut,high
ensuite,afterwards
guerre,war
loi,law
président,president
exister,to exist
sûr,sure
refuser,to refuse
plutôt,instead
bureau,desk
mauvais,wrong
quant,as to
mort,dead
mal,wrong
lire,read
réussir,to succeed
marché,market
condition,condition
international,international
changer,to change
oui,yes
public,audience
humain,human
souvent,often
cinq,five
système,system
travailler,work
jeu,game
vrai,true
représenter,represent
madame,madam
société,society
difficile,hard
quoi,what
entreprise,company
coup,cut
or,gold
social,social
assurer,to assure
essayer,try
juste,just
étranger,foreign
empêcher,to prevent
million,million
manière,way
sortir,go out
prix,price
terme,term
longtemps,long time
reprendre,to resume
courant,running
intérêt,interest
mener,carry out
information,information
détail,detail
appartenir,belong
liberté,freedom
assez,enough
risquer,risk
chacun,each
concerner,concern
maison,home
d'abord,first of all
apprendre,learn
niveau,level
rencontrer,to encounter
ton,your
œuvre,work
créer,create
état,state
obtenir,obtain
clair,light
chercher,look for
entrer,walk in
proposer,to propose
apporter,to bring
programme,program
loin,far
ligne,line
tête,head
libre,free
utiliser,utilize
atteindre,reach
tenter,to attempt
tard,late
enfin,finally
différent,different
sorte,sort
cependant,however
sujet,topic
importer,import
action,stock
relation,relationship
recherche,research
livre,book
ajouter,to add
ailleurs,somewhere else
vraiment,really
doute,doubt
reste,rest
début,beginning
présence,presence
nombreux,numerous
produire,produce
préparer,to prepare
forme,form
décision,decision
rôle,role
dix,ten
produit,product
américain,american
minute,minute
relever,raise
autant,as much
peuple,people
second,second
prochain,next
particulier,particular
écrire,to write
position,position
développement,development
défendre,defend
chef,chief
économie,economy
effort,effort
parmi,among
membre,member
tirer,pull
ancien,ancient
beau,beautiful
plein,full
juger,judge
éviter,to avoid
soir,evening
personnel,personal
titre,title
parti,left
objet,object
unique,unique
souhaiter,to wish
afin,in order to
peine,sadness
malgré,despite
période,period
engager,engage
réaliser,achieve
parfois,sometimes
lors,during
sérieux,serious
aider,to help
voix,voice
terminer,to end
base,base
espérer,to hope
main,hand
gros,big
arrêter,stop
retour,return
prêt,ready
occasion,opportunity
député,deputy
regarder,to look at
plupart,mostly
deuxième,second
résultat,results
écouter,to listen
terre,earth
valoir,to be worth
dollar,dollar
intérieur,interior
page,page
confiance,trust
choix,choice
prévoir,provide
chance,chance
notamment,notably
type,kind
but,aim
matin,morning
grave,severe
prise,socket
européen,european
étude,study
principe,principle
remplacer,replace
avancer,to advance
six,six
nécessaire,necessary
activité,activity
valeur,value
marquer,to mark
entier,entire
réponse,answer
aide,assistance
principal,major
élever,raise
pourtant,yet
commission,commission
cesser,to cease
poursuivre,to chase
maintenir,maintain
époque,era
exprimer,express
ami,friend
bas,down
imposer,impose
moitié,half
avenir,coming
argent,silver
mise,putting
œil,eye
eau,water
sauf,except
école,school
sécurité,security
milieu,environment
lettre,letter
presque,almost
attention,warning
cadre,frame
futur,future
mouvement,movement
former,form
conduire,conduct
règle,rule
poste,job
demande,request
centre,center
acte,deed
disparaître,vanish
priver,deprive
constituer,constitute
accord,ok
milliard,billion
lier,bind
obliger,obligate
craindre,to fear
passé,past
âge,age
déclarer,to declare
oublier,to forget
propos,about
troisième,third
quitter,leave
bout,end
population,population
toi,you
responsable,responsible
route,road
tôt,early
lancer,throw
limite,limit
fonction,function
emploi,use
objectif,objective
paraître,appear
journal,log
annoncer,announce
lui-même,itself
tour,round
voilà,so
volonté,will
envoyer,send
partager,to share
puisque,since
établir,establish
changement,change
garder,to keep
réalité,reality
interdire,to forbid
finir,finish
placer,to place
sentir,feel
payer,pay
esprit,spirit
domaine,domain
diriger,to manage
noter,to note
nature,nature
régime,regime
charger,load
court,short
parent,parent
tomber,to fall
départ,departure
mondial,global
entraîner,lead
disposer,arrange
parole,word
fond,bottom
publique,public
faux,fake
genre,gender
retenir,to hold onto
communauté,community
intéresser,to interest
c'est-à-dire,that's to say
corps,body
matière,matter
sein,breast
difficulté,difficulty
parvenir,to arrive at
secteur,sector
appel,call
cœur,heart
père,dad
organisation,organization
unité,unity
noir,black
événement,event
double,double
convaincre,convince
nation,nation
conseil,advice
soutenir,sustain
paix,peace
nuit,night
partout,everywhere
direction,direction
manquer,to lack
actuel,current
opposer,oppose
signifier,mean
journée,daytime
d'ailleurs,by the way
traiter,treat
indiquer,indicate
tuer,kill
technique,technical
rapidement,rapidly
autour,around
réduire,reduce
d'après,according to
préférer,prefer
rue,street
riche,rich
bref,short
nommer,appoint
violence,violence
siècle,century
article,article
durer,last
qualité,quality
gauche,left
solution,solution
voie,way
capable,able
canadien,canadian
erreur,mistake
livrer,deliver
auprès,with
simplement,merely
souvenir,memory
conséquence,result
large,wide
contraire,opposite
succès,hit
élément,element
local,local
été,summer
inviter,invite
extérieur,outside
pied,foot
mission,assignment
débat,debate
fille,daughter
répéter,repeat
texte,text
profiter,to profit from
chambre,bedroom
création,creation
prouver,prove
acheter,to buy
justice,justice
production,production
ignorer,ignore
directeur,director
santé,health
souffrir,suffer
précis,accurate
fixer,to stare
mère,mother
croissance,growth
risque,risk
arme,armed
estimer,to estimate
endroit,place
comité,committee
impossible,impossible
preuve,evidence
véritable,true
amener,to bring
viser,to aim
retirer,remove
total,total
image,image
date,date
travers,through
contrôle,control
énorme,huge
conserver,keep
réel,real
campagne,country
naître,be born
accorder,to agree
tourner,turn
participer,to participate
vieux,old
rapide,fast
respecter,respect
passage,passage
essentiel,essential
adopter,adopt
subir,undergo
environ,about
expérience,experience
admettre,admit
découvrir,discover
couvrir,cover
assister,to assist
sénateur,senator
dépasser,exceed
affirmer,to affirm
soumettre,submit
financier,financial
processus,process
militaire,military
frais,costs
industrie,industry
apparaître,appear
responsabilité,responsibility
réserver,reserve
porte,gate
victime,victim
territoire,territory
pauvre,poor
taux,rate
organiser,arrange
posséder,own
matériel,material
cent,hundred
constater,to certify
prononcer,pronounce
signe,sign
blanc,white
origine,origin
vendre,sale
vite,quick
langue,language
dangereux,dangerous
déplacer,move
importance,importance
suffire,suffice
espoir,hope
davantage,any further
saisir,to input
énergie,energy
réseau,network
mourir,die
faible,weak
employer,to employ
possibilité,possibility
spécial,special
accompagner,to accompany
actuellement,currently
union,union
supposer,assume
fournir,provide
ceci,this
exiger,require
intervenir,to intervene
fils,son
d'accord,okay
discuter,discuss
différence,difference
protéger,protect
abandonner,to abandon
avis,notice
battre,to beat
pire,worse
adresser,address
préciser,to specify
intervention,intervention
attirer,to attract
demeurer,remain
chiffre,figure
consacrer,devote
remplir,to fill
divers,various
appliquer,to apply
frapper,to hit
peur,fear
parlement,parliament
fermer,close
forcer,force
lutte,struggle
naturel,natural
air,air
auteur,author
opération,operation
heureux,happy
crise,crisis
numéro,number
résoudre,solve
publier,publish
instant,moment
toutefois,nevertheless
pousser,to push
quelqu'un,somebody
discours,speech
banque,bank
compagnie,company
reposer,to rest
opinion,opinion
classe,class
particulièrement,particularly
commun,common
satisfaire,satisfied
intention,intention
autorité,authority
anglais,english
échange,exchange
feu,fire
neuf,new
observer,observe
capacité,ability
désigner,designate
dépendre,depend
message,message
construire,to build
scène,stage
durant,during
secret,secret
plaisir,pleasure
dossier,case
proposition,proposal
combien,how many
nul,bad
absence,absence
cher,dear
plaire,to please
derrière,behind
connaissance,knowledge
immédiatement,immediately
entrée,hall
signer,sign
révéler,reveal
couper,to cut
salle,hall
pièce,room
équipe,crew
situer,locate
souligner,underline
source,source
respect,respect
crime,crime
précédent,previous
installer,install
facile,easy
augmenter,increase
réunir,reunite
impression,impression
octobre,october
médecin,doctor
fédéral,federal
police,police
coût,cost
formation,training
contrat,contract
normal,normal
attitude,attitude
faute,mistake
série,series
lever,lift
proche,close
direct,direct
imaginer,to imagine
figurer,appear
pratique,practice
finalement,ultimately
allemand,german
pression,pressure
accès,access
champ,field
film,film
charge,charge
envisager,consider
commune,commune
ressource,resource
monter,ascend
promettre,to promise
motion,motion
concentrer,focus
exactement,exactly
composer,compose
chemin,path
zone,area
province,province
élection,election
usage,use
conflit,conflict
hors,except
enquête,investigation
terrain,ground
mars,march
tellement,so much
espace,space
demain,tomorrow
hier,yesterday
confier,entrust
remarquer,to remark
égard,regard
supérieur,superior
huit,eight
condamner,damn
capital,capital
lien,link
voiture,car
discussion,discussion
limiter,restrict
justifier,justify
agent,agent
sentiment,feeling
tâche,task
directement,directly
euh,uh
raconter,to tell about
décembre,december
développer,develop
honorable,honorable
contact,contact
conclure,conclude
fruit,fruit
ouvert,open
investissement,investment
insister,insist
avantage,advantage
garde,keep
historique,historical
probablement,most likely
voyage,travel
sept,seven
marche,walking
vérité,truth
commercial,commercial
critique,critical
ministère,ministry
baisser,to lower
somme,sum
culture,culture
cacher,to hide
prêter,lend
définir,define
client,customer
exposer,expose
progrès,progress
secrétaire,secretary
mer,sea
rapporter,report
appuyer,to lean on
liste,listing
rentrer,to return
mémoire,memory
caractère,temper
détruire,destroy
civil,civil
nécessité,need
juin,june
danger,danger
complexe,complex
commerce,trade
transport,transportation
attente,waiting
institution,institution
défense,defense
janvier,january
échapper,escape
négociation,negotiation
franc,franc
mai,may
septembre,september
environnement,environment
séparer,to separate
réaction,reaction
disposition,arrangement
positif,positive
scientifique,scientific
papier,paper
expression,expression
protection,protection
indépendant,independent
carte,map
association,association
régler,adjust
modèle,model
commander,order
étudier,to study
déterminer,determine
budget,budget
fonder,found
structure,structure
complet,complete
exercer,exercise
amour,love
manifester,manifest
menacer,threaten
conseiller,advise
réunion,meeting
opposition,opposition
maladie,sickness
outre,outraged
tandis,while
construction,construction
bande,bandaged
signal,signal
voisin,neighbour
réforme,reform
rejeter,dismiss
novembre,november
fonds,funds
coûter,cost
reprise,reprise
presse,hurry
rouge,red
majorité,majority
autoriser,to allow
effectuer,perform
bord,edge
central,central
procédure,procedure
faveur,favor
éducation,education
officiel,official
document,document
aspect,aspect
retourner,flip
professionnel,professional
auparavant,previously
animal,animal
utile,useful
inscrire,to register
concurrence,competition
déclaration,statement
rejoindre,rejoin
mille,thousand
absolument,absolutely
prison,jail
armée,army
revenu,revenue
complètement,completely
confirmer,to confirm
salaire,salary
lecture,reading
contribuer,to contribute
attaquer,tackle
table,table
remonter,go back up
certes,certainly
avril,april
autrement,other
ferme,closed
désormais,from now on
lourd,heavy
susciter,to stimulate
république,republic
dur,hard
application,application
lutter,wrestle
profit,profit
contenir,contain
déposer,to file
modifier,edit
communication,communication
jugement,judgement
manque,lack
échec,failure
traverser,to cross
transformer,transform
engagement,commitment
frère,brother
mardi,tuesday
rencontre,meet
vote,vote
renvoyer,dismiss
regretter,to regret
espèce,species
recommandation,recommendation
consister,consist
réagir,react
surprendre,surprise
circonstance,circumstance
témoin,witness
améliorer,to improve
administration,administration
réfléchir,reflect
lumière,light
vert,green
apprécier,enjoy
combat,fight
sensible,sensitive
étudiant,student
vitesse,speed
malade,sick
portée,scope
élève,student
contrôler,control
merci,thank you
certainement,definitely
visite,visit
assemblée,assembly
émission,emission
arrivée,arrival
puissance,powerful
partenaire,partner
contenter,satisfy
perte,loss
libéral,liberal
citoyen,citizen
citer,to quote
influence,influence
camp,camp
établissement,establishment
vendredi,friday
avance,advance
destiner,destiny
causer,cause
nord,north
lundi,monday
maître,master
interroger,question
conférence,conference
provoquer,to provoke
vente,sale
ramener,to bring back
soldat,soldier
collègue,coworker
concevoir,design
procéder,proceed
poids,weight
voici,here is
acquérir,to acquire
moindre,lesser
convenir,suit
logique,logic
examiner,examine
soin,care
mesurer,measure
traitement,treatment
jeudi,thursday
impliquer,imply
science,science
individu,individual
donnée,given
demi,half
combattre,combat
violent,violent
comporter,include
suivant,next
mériter,deserve
emprunter,to borrow
conscience,awareness
traduire,translate
sang,blood
millier,thousand
emporter,carry
initiative,initiative
nucléaire,nuclear
industriel,industrial
vif,vivid
exact,exact
exception,exception
doubler,double
février,february
mode,fashion
tendre,tender
musique,music
gestion,management
honneur,honor
vaste,vast
évoquer,recall
fonctionner,function
étape,stage
physique,physical
accuser,to accuse
parfaitement,perfectly
méthode,method
professeur,teacher
envers,towards
distribuer,distribute
existence,existence
prétendre,to claim
global,overall
dommage,shame
crédit,credit
tendance,tendency
chaîne,chain
relatif,relative
note,note
réserve,reserve
maximum,maximum
moteur,engine
version,version
règlement,settlement
couple,couple
mercredi,wednesday
régional,regional
sinon,otherwise
entreprendre,undertake
au-delà,beyond
étendre,extend
sortie,exit
profond,deep
décrire,describe
etc,etc
récent,recent
télévision,television
retraite,retirement
art,art
frontière,border
égal,equal
promesse,promise
entretenir,maintain
habiter,to live in
quartier,piece
avocat,lawyer
accueillir,welcome
libérer,release
vivant,living
université,university
rire,laugh
facilement,easily
crainte,fear
commettre,commit
précisément,precisely
soutien,support
urgence,emergency
clé,key
enlever,to remove
jeter,to throw
religieux,religious
analyse,to analyse
disponible,available
regard,glance
prévenir,prevent
bientôt,soon
analyser,analyze
mariage,wedding
couleur,color
témoigner,bear witness
sauver,save
parlementaire,parliamentary
conclusion,conclusion
bleu,blue
dehors,out
remercier,thank
actif,asset
réclamer,claim
habitude,habit
récemment,recently
fil,thread
collectif,collective
excellent,excellent
moral,moral
accident,accident
code,coded
puissant,powerful
recueillir,collect
fabriquer,make
représentant,representing
rare,rare
extraordinaire,extraordinary
dimanche,sunday
vérifier,check
envie,urge
enregistrer,to register
moderne,modern
parc,park
impôt,tax
sud,south
efficace,efficient
intéressant,interesting
île,island
cité,cited
carrière,career
voter,vote
traité,treaty
libération,release
nourrir,to feed
sérieusement,seriously
bras,arms
immédiat,immediate
exceptionnel,exceptional
rechercher,to research
palestinien,palestinian
lendemain,the following day
producteur,producer
garantir,to guarantee
geste,gesture
roman,novel
augmentation,increase
facteur,factor
policier,policeman
échelle,ladder
supplémentaire,additional
pratiquer,practice
pensée,thought
extrême,extreme
néanmoins,however
bénéficier,benefit
vingt,twenty
revoir,see again
perspective,perspective
défaut,default
précieux,precious
retard,delay
démocratie,democracy
renforcer,to reinforce
silence,silence
troupe,troop
qualifier,to qualify
absolu,absolute
dégager,clear
stratégie,strategy
bateau,boat
printemps,spring
course,race
exercice,exercise
fondamental,fundamental
visage,face
droite,right
machine,machine
village,town
britannique,british
surveiller,to watch
édition,editing
organisme,organization
leçon,lesson
accomplir,accomplish
décevoir,disappoint
bataille,battle
port,port
naissance,birth
majeur,major
froid,cold
hôpital,hospital
circuit,circuit
terrible,terrible
degré,degree
exigence,requirement
rêve,dream
inspirer,inspire
opérer,operate
entièrement,entirely
chapitre,chapter
quotidien,daily
clairement,clearly
joindre,join
léger,light
permanent,permanent
juge,judge
après-midi,afternoon
russe,russian
juillet,july
ordinaire,ordinary
candidat,candidate
rapprocher,bring together
résistance,resistance
fier,proud
justement,exactly
habitant,resident
formule,formula
mur,wall
tribunal,court
journaliste,journalist
manger,to eat
soulever,raise
évidemment,obviously
travailleur,worker
résolution,resolution
dirigeant,leader
marque,mark
utilisation,use
offre,offer
habituel,usual
survivre,to survive
populaire,popular
constitution,constitution
participation,participation
évolution,evolution
totalement,totally
gérer,to manage
samedi,saturday
informer,inform
fou,mad
attacher,to attach
renouveler,renew
asseoir,sit
oh,oh
transfert,transfer
renoncer,to renouncer
roi,king
soi,self
téléphone,telephone
net,net
foi,faith
motif,pattern
plaindre,complain
tradition,tradition
institut,institute
victoire,victoire
arrêt,stop
concours,competition
vis-à-vis,vis à vis
aboutir,lead
visiter,to visit
elle-même,herself
démocratique,democratic
tentative,attempt
largement,widely
échouer,fail
désirer,to desire
côte,coast
génération,generation
vent,wind
technologie,technology
inquiéter,worry
dépit,spite
équilibre,balance
inquiet,worried
obstacle,obstacle
réflexion,reflection
uniquement,uniquely
affecter,affect
revanche,revenge
ressembler,look like
station,station
supporter,support
privé,private
catégorie,category
mine,mine
législatif,legislative
ah,ah
propriétaire,owner
favoriser,foster
priorité,priority
avion,plane
minimum,minimum
criminel,criminal
photo,photo
précéder,precede
solide,solid
correspondre,match
navire,vessel
centaine,hundred
explication,explanation
transmettre,to transmit
appareil,device
publication,publication
associer,associate
trait,trait
référence,reference
bois,wood
identifier,identify
symbole,symbol
consommation,consumption
idéal,ideal
chômage,unemployment
courage,courage
reconnaissance,acknowledgement
entretien,maintenance
encourager,encourage
kilomètre,kilometer
dérouler,unroll
identité,identify
amendement,amendment
signaler,report
division,division
contexte,context
coupable,guilty
favorable,favorable
obligation,obligation
août,august
attribuer,attribute
courir,to run
examen,exam
personnage,character
dénoncer,denounce
inconnu,unknown
échanger,swap
montant,amount
éliminer,eliminate
ouverture,opening
tableau,picture
exclure,exclude
meurtre,murder
exemplaire,copy
propriété,property
final,final
site,site
séance,session
durée,duration
élire,elect
baisse,decrease
inquiétude,worry
israélien,israeli
représentation,representation
pareil,the same
mandat,mandate
quinze,fifteen
vide,empty
statut,status
essai,test
sourire,smile
italien,italian
suggérer,to suggest
interrompre,interrupt
au-dessus,above
agence,agency
usine,factory
unir,unite
rang,rank
employé,employee
sommet,mountain peak
franchir,cross
évident,obvious
comportement,behaviour
fête,party
sol,floor
écarter,displease
vague,vague
réduction,reduction
culturel,cultural
coopération,cooperation
vertu,virtue
d'autant,especially
leader,leader
taille,cut
contenu,contents
distance,distance
automne,fall
arrière,back
vision,vision
investir,invest
diminuer,lessen
réfugier,refuge
entourer,surround
juif,jewish
considérable,considerable
conduite,conduct
convention,convention
communiquer,communicate
prolonger,to prolong
verser,to pay
évidence,evidence
essentiellement,basically
démontrer,demonstrate
négatif,negative
approche,approach
délai,time limit
accroître,increase
bruit,noise
humanité,humanity
radio,radio
moi-même,myself
syndicat,union
prudent,careful
soirée,evening
vol,flight
marcher,walk
tiers,third
mètre,metre
aborder,to land
occidental,western
suffisant,sufficient
ciel,sky
tromper,deceive
modeste,modest
éloigner,remove
seconde,second
malheureusement,sadly
évaluer,assess
extrêmement,extremely
interne,internal
voire,even or even
témoignage,testimony
messieurs,gentlemen
effectivement,effectively
gaz,gas
acteur,actor
adapter,adapt
cour,court
dépense,spent
souci,worry
expert,expert
sœur,sister
relativement,relatively
comparer,compare
procès,court case
provenir,arise from
réellement,actually
conscient,aware
céder,to sell
médical,medical
diviser,divide
colère,anger
patient,patient
notion,notion
siège,headquarters
hausse,rise
mécanisme,mechanism
traditionnel,traditional
quart,quarter
approcher,approach
trafic,traffic
catholique,catholic
foyer,foyer
adulte,adult
reprocher,to reproach
métier,job
modification,modification
peser,weigh
médias,media
hiver,winter
définition,definition
spécialiste,specialist
mari,husband
supprimer,to delete
guère,hardly
douter,doubt
ressentir,to feel
sexuel,sexual
consulter,to consult
renseignement,intelligence
âgé,elderly
fonctionnement,functioning
garçon,boy
parfait,perfect
résumer,to sum up
prévision,forecast
quatrième,fourth
fenêtre,window
incapable,unable
hésiter,hesitate
menace,threatens
universel,universal
jeunesse,youth
voler,steal
résister,resist
profondément,deeply
séparation,separation
inutile,useless
refus,refusal
poisson,fish
révolution,revolution
prisonnier,prisoner
avouer,confess
saluer,greet
fer,iron
familial,family
cinéma,movie theater
calcul,calculation
armé,armed
enseignement,education
étonnant,amazing
dizaine,tens
dessus,above
achever,finish
fonctionnaire,official
instruction,instruction
pratiquement,practically
oser,to dare
rassembler,bring together
réalisation,achievement
fiscal,tax
démarche,steps
corriger,to correct
volume,volume
réussite,success
désir,desire
pur,pure
exportation,export
prier,pray
trente,thirty
âme,soul
dominer,dominate
autorisation,permission
instrument,instrument
indépendance,independence
tort,wrong
hauteur,height
critiquer,criticize
attaque,offensive
assurance,insurance
déficit,deficit
évoluer,evolve
drogue,dope
concret,concrete
percevoir,perceive
rythme,rhythm
approuver,approve
douze,twelve
juridique,legal
espagnol,spanish
saison,season
épreuve,test
hypothèse,hypothesis
relier,relate
financement,funding
dos,back
consommateur,consumer
soviétique,soviet
volontaire,voluntary
négocier,to negotiate
finance,finance
rêver,dream
indien,indian
quantité,amount
définitif,final
persuader,to persuade
interpréter,interpret
annuel,annual
commentaire,comment
marier,marry
spectacle,spectacle
pari,bet
célèbre,famous
ouest,west
sexe,sex
eh,eh
recours,appeal
accent,accent
introduire,introduce
communiste,communist
concert,concert
couverture,cover
religion,religion
appui,support
théâtre,theater
saint,holy
conséquent,substantial
équipement,equipment
descendre,to come down
patron,boss
marge,margin
abri,shelter
recette,recipe
généralement,usually
vigueur,vigor
baser,base
soleil,sun
électoral,electoral
ennemi,enemy
bourse,stock exchange
dimension,dimension
déployer,deploy
dialogue,dialogue
thème,theme
circuler,circulate
porte-parole,spokesperson
présentation,presentation
forêt,forest
outil,tool
vacance,holiday
suffisamment,enough
défi,challenge
front,forehead
suspendre,to suspend
calme,calm
montagne,mountain
sévère,strict
apparemment,apparently
présidence,presidency
magasin,store
commissaire,commissioner
écrivain,writer
monétaire,monetary
ouvrage,work
réputation,reputation
cabinet,cabinet
écart,difference
chien,dog
surveillance,surveillance
indispensable,essential
conversation,conversation
surface,surface
féliciter,congratulate
sûrement,surely
bombe,bomb
efficacité,efficiency
euro,euro
phase,phase
confusion,confusion
précision,precision
compétence,skill
bilan,balance sheet
immense,immense
massif,massive
chute,fall
constant,constant
sain,healthy
intégrer,to integrate
aérien,air
contrairement,in contrary
pierre,pierre
socialiste,socialist
fortement,strongly
régulier,regular
boîte,box
financer,finance
théorie,theory
hôtel,hotel
nier,deny
phénomène,phenomenon
là-bas,the low
étonner,astonish
totalité,all
sort,spell
accéder,to access
église,church
récupérer,retrieve
doter,endow
contribution,contribution
profondeur,depth
émettre,issue
test,test
vice-président,vice-president
pêche,sin
découverte,discovery
potentiel,potential
agricole,agricultural
intellectuel,intellectual
essence,essence
pencher,lean
artiste,artist
coin,corner
tension,tension
don,don
uniforme,uniform
fidèle,faithful
grève,strike
achat,purchase
mentionner,mention
exécution,execution
distinguer,distinguish
exploiter,to exploit
administratif,administrative
effectif,effective
communautaire,community
individuel,individual
faciliter,facilitate
original,original
surprise,surprise
veiller,watch
dette,debt
capitale,capital city
maintien,maintenance
chanter,to sing
pension,pension
revue,review
clore,close
neige,snow
figure,figure
masse,mass
susceptible,susceptible
étroit,narrow
goût,taste
prestation,benefit
régner,to reign
catastrophe,disaster
ressortir,come out
exploitation,exploitation
manifestation,demonstration
dormir,sleep
lit,bed
bouche,stuffy
excuse,excuse
veille,standby
content,happy
rassurer,to reassure
triste,sad
latin,latin
classique,classic
alliance,alliance
préoccupation,concern
trace,trace
logement,lodging
langage,speech
plainte,complaint
chaud,hot
taire,to hush up
émotion,emotion
judiciaire,judicial
progresser,progress
secours,rescue
confronter,to confront
strict,strict
club,club
ouvrier,worker
souffrance,suffering
observation,observation
rétablir,to re-establish
immeuble,building
passion,passion
rupture,breakup
office,office
compliquer,complicate
assumer,to assume
partiel,partiel
éprouver,experience
rendez-vous,appointment
argument,argument
planète,planet
maire,mayor
délicat,delicate
attentat,bombing
boire,to drink
richesse,wealth
caisse,box
hasard,chance
héros,hero
oreille,ear
incident,incident
café,coffee
annonce,announcement
régulièrement,regularly
pont,bridge
foutre,cum
apercevoir,to notice
refléter,reflect
bouger,to move
foule,crowd
chrétien,christian
isoler,isolate
norme,standard
égalité,equality
tenue,outfit
animer,animate
statistique,statistical
piste,track
préserver,preserve
hommage,tribute
inférieur,inferior
match,match
pointe,point
gouvernemental,governmental
exécuter,execute
tragédie,tragedy
distribution,distribution
scandale,scandal
irakien,iraqi
chinois,chinese
bénéfice,profit
billet,ticket
choc,shock
proportion,proportion
canal,channel
briser,to break
destruction,destruction
reculer,to move back
critère,criteria
gardien,guardian
adresse,address
réception,reception
conservateur,conservative
ouais,yeah
transporter,carry
brûler,burn
manœuvre,maneuver
monnaie,change
transmission,transmission
quelconque,any
courrier,mail
grandir,growing up
élaborer,elaborate
doigt,finger
illustrer,illustrate
poche,poached
affronter,confront
éclater,to burst
honte,shame
faiblesse,weakness
fédération,federation
presser,squeeze
mêler,mix
bonheur,happiness
formuler,formulate
crier,yell
pauvreté,poverty
bâtiment,building
époux,husband
médicament,medication
firme,firm
élargir,to broaden
électeur,elector
plonger,dip
véhicule,vehicle
fuir,to run away
chercheur,searcher
varier,vary
personnalité,personality
inventer,invent
principalement,principally
prudence,caution
stade,stadium
liaison,connection
consultation,consultation
québécois,quebecer
ordonner,to order
bonjour,hello
morale,moral
contester,challenge
nécessairement,necessarily
détermination,determination
congrès,congress
semblable,similar
préoccuper,concern
dépôt,deposit
considération,consideration
multiplier,multiply
dame,lady
joie,joy
durable,sustainable
faim,hunger
excuser,excuse
recommander,recommend
concept,concept
cerveau,brain
truc,thing
allié,ally
scolaire,school
arabe,arab
diffuser,broadcast
budgétaire,budgetary
inquiétant,disturbing
inclure,include
style,style
combler,to fill in
ombre,shadow
annuler,to cancel
joueur,player
bloquer,to block
interprétation,interpretation
climat,climate
séjour,stay
guider,guide
spécialiser,specialize
ben,ben
sport,sport
amélioration,improvement
douleur,pain
issue,outcome
généreux,generous
absent,absent
talent,talent
normalement,normally
remarque,remark
détourner,divert
